card_id;front;back;catalan;español;palabra;categoría_gramatical;categoría_de_uso;audio_file_name
cat_esp_501;CAT: M'agraden els {{c1::animals}} salvatges.<br>ESP: Me gustan los {{c2::animales}} salvajes.;[sound:magraden_els_animals_salvatges.mp3];M'agraden els animals salvatges.;Me gustan los animales salvajes.;animal;nom;Natura/Éssers vius;magraden_els_animals_salvatges.mp3
cat_esp_502;CAT: El meu {{c1::gos}} borda molt.<br>ESP: Mi {{c2::perro}} ladra mucho.;[sound:el_meu_gos_borda_molt.mp3];El meu gos borda molt.;Mi perro ladra mucho.;gos;nom;Animals;el_meu_gos_borda_molt.mp3
cat_esp_503;CAT: El {{c1::gat}} dorm al sofà.<br>ESP: El {{c2::gato}} duerme en el sofá.;[sound:el_gat_dorm_al_sofa.mp3];El gat dorm al sofà.;El gato duerme en el sofá.;gat;nom;Animals;el_gat_dorm_al_sofa.mp3
cat_esp_504;CAT: Muntar a {{c1::cavall}} és divertit.<br>ESP: Montar a {{c2::caballo}} es divertido.;[sound:muntar_a_cavall_es_divertit.mp3];Muntar a cavall és divertit.;Montar a caballo es divertido.;cavall;nom;Animals;muntar_a_cavall_es_divertit.mp3
cat_esp_505;CAT: Un {{c1::ocell}} canta a la finestra.<br>ESP: Un {{c2::pájaro}} canta en la ventana.;[sound:un_ocell_canta_a_la_finestra.mp3];Un ocell canta a la finestra.;Un pájaro canta en la ventana.;ocell;nom;Animals;un_ocell_canta_a_la_finestra.mp3
cat_esp_506;CAT: Viu com un {{c1::peix}} a l'aigua.<br>ESP: Vive como un {{c2::pez}} en el agua.;[sound:viu_com_un_peix_a_l_aigua.mp3];Viu com un peix a l'aigua.;Vive como un pez en el agua.;peix;nom;Animals;viu_com_un_peix_a_l_aigua.mp3
cat_esp_507;CAT: La {{c1::vaca}} dóna llet.<br>ESP: La {{c2::vaca}} da leche.;[sound:la_vaca_dona_llet.mp3];La vaca dóna llet.;La vaca da leche.;vaca;nom;Animals/Granja;la_vaca_dona_llet.mp3
cat_esp_508;CAT: El {{c1::porc}} viu a la granja.<br>ESP: El {{c2::cerdo}} vive en la granja.;[sound:el_porc_viu_a_la_granja.mp3];El porc viu a la granja.;El cerdo vive en la granja.;porc;nom;Animals/Granja;el_porc_viu_a_la_granja.mp3
cat_esp_509;CAT: Una {{c1::ovella}} blanca.<br>ESP: Una {{c2::oveja}} blanca.;[sound:una_ovella_blanca.mp3];Una ovella blanca.;Una oveja blanca.;ovella;nom;Animals/Granja;una_ovella_blanca.mp3
cat_esp_510;CAT: Visitem la {{c1::granja}} escola.<br>ESP: Visitamos la {{c2::granja}} escuela.;[sound:visitem_la_granja_escola.mp3];Visitem la granja escola.;Visitamos la granja escuela.;granja;nom;Llocs/Rural;visitem_la_granja_escola.mp3
cat_esp_511;CAT: Treballa al {{c1::camp}}.<br>ESP: Trabaja en el {{c2::campo}}.;[sound:treballa_al_camp.mp3];Treballa al camp.;Trabaja en el campo.;camp;nom;Llocs/Rural;treballa_al_camp.mp3
cat_esp_512;CAT: Passejar pel {{c1::bosc}}.<br>ESP: Pasear por el {{c2::bosque}}.;[sound:passejar_pel_bosc.mp3];Passejar pel bosc.;Pasear por el bosque.;bosc;nom;Llocs/Natura;passejar_pel_bosc.mp3
cat_esp_513;CAT: Una {{c1::planta}} d'interior.<br>ESP: Una {{c2::planta}} de interior.;[sound:una_planta_d_interior.mp3];Una planta d'interior.;Una planta de interior.;planta;nom;Natura;una_planta_d_interior.mp3
cat_esp_514;CAT: Anem al {{c1::restaurant}} italià.<br>ESP: Vamos al {{c2::restaurante}} italiano.;[sound:anem_al_restaurant_italia.mp3];Anem al restaurant italià.;Vamos al restaurante italiano.;restaurant;nom;Llocs/Menjar;anem_al_restaurant_italia.mp3
cat_esp_515;CAT: Quedem al {{c1::bar}} de la cantonada.<br>ESP: Quedamos en el {{c2::bar}} de la esquina.;[sound:quedem_al_bar_de_la_cantonada.mp3];Quedem al bar de la cantonada.;Quedamos en el bar de la esquina.;bar;nom;Llocs/Oci;quedem_al_bar_de_la_cantonada.mp3
