catalan;español;palabra;categoría_gramatical;categoría_de_uso;audio_file_name
cat_esp_601;CAT: Necessito la {{c1::clau}} per obrir.<br>ESP: Necesito la {{c2::llave}} para abrir.;[sound:necessito_la_clau_per_obrir.mp3];Necessito la clau per obrir.;Necesito la llave para abrir.;clau;nom;Objectes;necessito_la_clau_per_obrir.mp3
cat_esp_602;CAT: Mira't al {{c1::mirall}}.<br>ESP: Mírate al {{c2::espejo}}.;[sound:mira_t_al_mirall.mp3];Mira't al mirall.;Mírate al espejo.;mirall;nom;Objectes/Casa;mira_t_al_mirall.mp3
cat_esp_603;CAT: Utilitza la {{c1::pinta}} per pentinar-te.<br>ESP: Utiliza el {{c2::peine}} para peinarte.;[sound:utilitza_la_pinta_per_pentinar_te.mp3];Utilitza la pinta per pentinar-te.;Utiliza el peine para peinarte.;pinta;nom;Objectes/Higiene;utilitza_la_pinta_per_pentinar_te.mp3
cat_esp_604;CAT: Renta't les dents amb el {{c1::raspall}}.<br>ESP: Lávate los dientes con el {{c2::cepillo}}.;[sound:renta_t_les_dents_amb_el_raspall.mp3];Renta't les dents amb el raspall.;Lávate los dientes con el cepillo.;raspall;nom;Objectes/Higiene;renta_t_les_dents_amb_el_raspall.mp3
cat_esp_605;CAT: Una pastilla de {{c1::sabó}}.<br>ESP: Una pastilla de {{c2::jabón}}.;[sound:una_pastilla_de_sabo.mp3];Una pastilla de sabó.;Una pastilla de jabón.;sabó;nom;Objectes/Higiene;una_pastilla_de_sabo.mp3
cat_esp_606;CAT: Eixuga't amb la {{c1::tovallola}}.<br>ESP: Sécate con la {{c2::toalla}}.;[sound:eixuga_t_amb_la_tovallola.mp3];Eixuga't amb la tovallola.;Sécate con la toalla.;tovallola;nom;Objectes/Higiene;eixuga_t_amb_la_tovallola.mp3
cat_esp_607;CAT: Posa els {{c1::coberts}} a taula.<br>ESP: Pon los {{c2::cubiertos}} en la mesa.;[sound:posa_els_coberts_a_taula.mp3];Posa els coberts a taula.;Pon los cubiertos en la mesa.;coberts;nom (plural);Objectes/Cuina;posa_els_coberts_a_taula.mp3
cat_esp_608;CAT: Treballa a l'{{c1::oficina}}.<br>ESP: Trabaja en la {{c2::oficina}}.;[sound:treballa_a_l_oficina.mp3];Treballa a l'oficina.;Trabaja en la oficina.;oficina;nom;Llocs/Treball;treballa_a_l_oficina.mp3
cat_esp_609;CAT: Visita a la {{c1::fàbrica}}.<br>ESP: Visita a la {{c2::fábrica}}.;[sound:visita_a_la_fabrica.mp3];Visita a la fàbrica.;Visita a la fábrica.;fàbrica;nom;Llocs/Treball;visita_a_la_fabrica.mp3
cat_esp_610;CAT: Un {{c1::taller}} mecànic.<br>ESP: Un {{c2::taller}} mecánico.;[sound:un_taller_mecanic.mp3];Un taller mecànic.;Un taller mecánico.;taller;nom;Llocs/Treball;un_taller_mecanic.mp3
cat_esp_611;CAT: L'{{c1::avi}} explica històries.<br>ESP: El {{c2::abuelo}} cuenta historias.;[sound:l_avi_explica_histories.mp3];L'avi explica històries.;El abuelo cuenta historias.;avi;nom;Gent/Família;l_avi_explica_histories.mp3
cat_esp_612;CAT: L'{{c1::àvia}} cuina molt bé.<br>ESP: La {{c2::abuela}} cocina muy bien.;[sound:l_avia_cuina_molt_be.mp3];L'àvia cuina molt bé.;La abuela cocina muy bien.;àvia;nom;Gent/Família;l_avia_cuina_molt_be.mp3
cat_esp_613;CAT: El meu {{c1::nét}} és trapella.<br>ESP: Mi {{c2::nieto}} es travieso.;[sound:el_meu_net_es_trapella.mp3];El meu nét és trapella.;Mi nieto es travieso.;nét;nom;Gent/Família;el_meu_net_es_trapella.mp3
cat_esp_614;CAT: Tinc una {{c1::néta}} preciosa.<br>ESP: Tengo una {{c2::nieta}} preciosa.;[sound:tinc_una_neta_preciosa.mp3];Tinc una néta preciosa.;Tengo una nieta preciosa.;néta;nom;Gent/Família;tinc_una_neta_preciosa.mp3
cat_esp_615;CAT: El meu {{c1::cosí}} viu a França.<br>ESP: Mi {{c2::primo}} vive en Francia.;[sound:el_meu_cosi_viu_a_franca.mp3];El meu cosí viu a França.;Mi primo vive en Francia.;cosí;nom;Gent/Família;el_meu_cosi_viu_a_franca.mp3
cat_esp_616;CAT: La meva {{c1::cosina}} és metgessa.<br>ESP: Mi {{c2::prima}} es médica.;[sound:la_meva_cosina_es_metgessa.mp3];La meva cosina és metgessa.;Mi prima es médica.;cosina;nom;Gent/Família;la_meva_cosina_es_metgessa.mp3
cat_esp_617;CAT: El {{c1::bomber}} apaga el foc.<br>ESP: El {{c2::bombero}} apaga el fuego.;[sound:el_bomber_apaga_el_foc.mp3];El bomber apaga el foc.;El bombero apaga el fuego.;bomber;nom;Professions;el_bomber_apaga_el_foc.mp3
cat_esp_618;CAT: Un agent de {{c1::policia}}.<br>ESP: Un agente de {{c2::policía}}.;[sound:un_agent_de_policia.mp3];Un agent de policia.;Un agente de policía.;policia;nom;Professions;un_agent_de_policia.mp3
cat_esp_619;CAT: El {{c1::forner}} fa pa.<br>ESP: El {{c2::panadero}} hace pan.;[sound:el_forner_fa_pa.mp3];El forner fa pa.;El panadero hace pan.;forner;nom;Professions;el_forner_fa_pa.mp3
cat_esp_620;CAT: El {{c1::fuster}} treballa la fusta.<br>ESP: El {{c2::carpintero}} trabaja la madera.;[sound:el_fuster_treballa_la_fusta.mp3];El fuster treballa la fusta.;El carpintero trabaja la madera.;fuster;nom;Professions;el_fuster_treballa_la_fusta.mp3
cat_esp_621;CAT: El {{c1::cambrer}} porta les begudes.<br>ESP: El {{c2::camarero}} trae las bebidas.;[sound:el_cambrer_porta_les_begudes.mp3];El cambrer porta les begudes.;El camarero trae las bebidas.;cambrer;nom;Professions;el_cambrer_porta_les_begudes.mp3
cat_esp_622;CAT: Estic {{c1::avorrit}} a casa.<br>ESP: Estoy {{c2::aburrido}} en casa.;[sound:estic_avorrit_a_casa.mp3];Estic avorrit a casa.;Estoy aburrido en casa.;avorrit;adjectiu;Emocions/Estat;estic_avorrit_a_casa.mp3
cat_esp_623;CAT: Una pel·lícula {{c1::interessant}}.<br>ESP: Una película {{c2::interesante}}.;[sound:una_pel_licula_interessant.mp3];Una pel·lícula interessant.;Una película interesante.;interessant;adjectiu;Descripció/Opinió;una_pel_licula_interessant.mp3
cat_esp_624;CAT: Una eina molt {{c1::útil}}.<br>ESP: Una herramienta muy {{c2::útil}}.;[sound:una_eina_molt_util.mp3];Una eina molt útil.;Una herramienta muy útil.;útil;adjectiu;Valoració;una_eina_molt_util.mp3
cat_esp_625;CAT: Això és completament {{c1::inútil}}.<br>ESP: Esto es completamente {{c2::inútil}}.;[sound:aixo_es_completament_inutil.mp3];Això és completament inútil.;Esto es completamente inútil.;inútil;adjectiu;Valoració;aixo_es_completament_inutil.mp3
cat_esp_626;CAT: Un viatge {{c1::impossible}}.<br>ESP: Un viaje {{c2::imposible}}.;[sound:un_viatge_impossible.mp3];Un viatge impossible.;Un viaje imposible.;impossible;adjectiu;Modalitat;un_viatge_impossible.mp3
cat_esp_627;CAT: És {{c1::probable}} que plogui.<br>ESP: Es {{c2::probable}} que llueva.;[sound:es_probable_que_plogui.mp3];És probable que plogui.;Es probable que llueva.;probable;adjectiu;Modalitat;es_probable_que_plogui.mp3
cat_esp_628;CAT: Condueix {{c1::bé}}.<br>ESP: Conduce {{c2::bien}}.;[sound:condueix_be.mp3];Condueix bé.;Conduce bien.;bé;adverbi;Manera;condueix_be.mp3
cat_esp_629;CAT: Tot ha sortit {{c1::malament}}.<br>ESP: Todo ha salido {{c2::mal}}.;[sound:tot_ha_sortit_malament.mp3];Tot ha sortit malament.;Todo ha salido mal.;malament;adverbi;Manera;tot_ha_sortit_malament.mp3
cat_esp_630;CAT: Camina molt {{c1::ràpid}}.<br>ESP: Anda muy {{c2::rápido}}.;[sound:camina_molt_rapid.mp3];Camina molt ràpid.;Anda muy rápido.;ràpid;adverbi/adjectiu;Manera/Velocitat;camina_molt_rapid.mp3
cat_esp_631;CAT: Parla més {{c1::lent}}.<br>ESP: Habla más {{c2::lento / despacio}}.;[sound:parla_mes_lent.mp3];Parla més lent.;Habla más lento / despacio.;lent;adverbi/adjectiu;Manera/Velocitat;parla_mes_lent.mp3
cat_esp_632;CAT: N'hi ha {{c1::massa}}.<br>ESP: Hay {{c2::demasiado}}.;[sound:n_hi_ha_massa.mp3];N'hi ha massa.;Hay demasiado.;massa;adverbi/quantificador;Quantitat;n_hi_ha_massa.mp3
cat_esp_633;CAT: No n'hi ha {{c1::prou}}.<br>ESP: No hay {{c2::suficiente / bastante}}.;[sound:no_n_hi_ha_prou.mp3];No n'hi ha prou.;No hay suficiente / bastante.;prou;adverbi/quantificador;Quantitat;no_n_hi_ha_prou.mp3
cat_esp_634;CAT: {{c1::Certament}}, és així.<br>ESP: {{c2::Ciertamente}}, es así.;[sound:certament_es_aixi.mp3];Certament, és així.;Ciertamente, es así.;certament;adverbi;Afirmació/Certesa;certament_es_aixi.mp3
cat_esp_635;CAT: Viu molt {{c1::lluny}}.<br>ESP: Vive muy {{c2::lejos}}.;[sound:viu_molt_lluny.mp3];Viu molt lluny.;Vive muy lejos.;lluny;adverbi;Lloc;viu_molt_lluny.mp3
cat_esp_636;CAT: És aquí {{c1::prop}}.<br>ESP: Está aquí {{c2::cerca}}.;[sound:es_aqui_prop.mp3];És aquí prop.;Está aquí cerca.;prop;adverbi;Lloc;es_aqui_prop.mp3
cat_esp_637;CAT: Espera {{c1::fora}}.<br>ESP: Espera {{c2::fuera}}.;[sound:espera_fora.mp3];Espera fora.;Espera fuera.;fora;adverbi;Lloc;espera_fora.mp3
cat_esp_638;CAT: Mira {{c1::amunt}}.<br>ESP: Mira {{c2::arriba}}.;[sound:mira_amunt.mp3];Mira amunt.;Mira arriba.;amunt;adverbi;Lloc/Direcció;mira_amunt.mp3
cat_esp_639;CAT: Seu {{c1::avall}}.<br>ESP: Siéntate {{c2::abajo}}.;[sound:seu_avall.mp3];Seu avall.;Siéntate abajo.;avall;adverbi;Lloc/Direcció;seu_avall.mp3
cat_esp_640;CAT: {{c1::Llavors}} no ho sabia.<br>ESP: {{c2::Entonces}} no lo sabía.;[sound:llavors_no_ho_sabia.mp3];Llavors no ho sabia.;Entonces no lo sabía.;llavors;adverbi;Temps;llavors_no_ho_sabia.mp3
